AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
0.0;0.0;5.820766091346741E-11;8.731149137020111E-11;3.482497763107177E-16;5.223746675913844E-16;0.0;0.0;0.001043104;25.605185136000003;18.039544144;1.25274144;0.0;1574.2823304320002;910.4805405760001;1.426948976271E12;21456.562060140495;21578.049123679233;21620.34705598412;1.739850032
1.8189894035458565E-12;0.0;2.9103830456733704E-11;8.731149137020111E-11;1.7009979375810612E-16;5.102993842568061E-16;0.0;1.8343470792908407E-16;0.0020520480000000003;23.504921264;17.700351728;0.098010096;0.0;1490.176483728;949.6932541440001;1.426951461132E12;22150.338808165478;22265.150046869225;22309.451329396175;1.518474208
0.0;0.0;2.9103830456733704E-11;8.731149137020111E-11;1.6540333217959202E-16;4.962099993588443E-16;0.0;0.0;0.002057376;28.056076352;17.828828896;0.92107304;0.0;1270.1608534240002;964.119593168;1.426953901112E12;23006.92152085376;23097.942031554212;23156.24005073027;1.610926464
0.0;0.0;5.820766091346741E-11;8.731149137020111E-11;3.3439827296792826E-16;5.015974123335286E-16;0.0;0.0;0.002064816;29.133934432;17.689713264;0.7770298080000001;0.0;1460.010005472;894.084413584;1.426956135502E12;22673.538941090046;22776.629541324324;22826.832874476848;1.657664416
0.0;0.0;1.4551915228366852E-10;1.1641532182693481E-10;8.67650830428698E-16;6.94120668481619E-16;0.0;0.0;0.002140912;10.59791176;17.746996368;1.0602605760000001;0.0;1139.5610788640001;990.484515328;1.426958489682E12;21556.871775721207;21683.33298040274;21720.11603565641;1.55902592
1.8189894035458565E-12;0.0;8.731149137020111E-11;8.731149137020111E-11;5.26988014081033E-16;5.26988017261787E-16;0.0;1.4759098931464918E-16;0.002121744;11.04414816;18.095575232;0.061868160000000005;0.0;1066.72793232;960.7704964960001;1.426960619849E12;21200.94029069736;21306.178021297113;21365.504419996167;1.616804496
0.0;0.0;2.9103830456733704E-11;5.820766091346741E-11;1.7030885431163986E-16;3.406177106164954E-16;0.0;0.0;0.002069856;10.992543792000001;17.999010432000002;1.0218576160000001;0.0;1234.9330888000002;872.3758184320001;1.42696264743E12;22113.29731527149;22228.77436083902;22272.842704661427;1.619759584
0.0;2.9103830456733704E-11;2.9103830456733704E-11;8.731149137020111E-11;1.7438210465362663E-16;5.23146317095428E-16;1.7438210569847598E-16;0.0;0.0020806080000000003;12.039694800000001;18.263164912;0.069329424;0.0;1083.351109984;933.7520598560001;1.426964755179E12;21413.491639545617;21532.069539014406;21577.4079137451;1.5812738720000001
9.094947017729282E-13;0.0;2.9103830456733704E-11;5.820766091346741E-11;1.8020425288203086E-16;3.6040850799562863E-16;0.0;1.3817337783926412E-16;0.0020859200000000002;32.96442952;17.935220736;0.06777688;0.0;1108.383748768;928.2692318080001;1.426966772387E12;20472.980134620997;20571.872203602987;20638.260827342572;1.5905865600000002
1.8189894035458565E-12;0.0;5.820766091346741E-11;4.6566128730773926E-10;3.751722986414392E-16;3.001378408476631E-15;0.0;3.1561874197675243E-16;0.0021345920000000003;37.021675088;16.133759360000003;1.425276672;0.0;1106.8086303520001;944.411804176;1.426968809894E12;20767.211877168436;20865.189354859158;20895.014171072944;1.5657497120000001
1.8189894035458565E-12;2.9103830456733704E-11;0.0;2.9103830456733704E-11;0.0;1.8884514177833194E-16;1.8884514177833194E-16;1.3838997658473052E-16;0.002146624;22.515180576000002;17.029945744000003;0.9807032640000001;0.0;960.497483456;908.873907216;1.426970861237E12;20588.88263052789;20686.271837878674;20714.805278662472;1.4692083360000001
0.0;2.9103830456733704E-11;8.731149137020111E-11;0.0;6.216794601339252E-16;0.0;2.0722648818681234E-16;0.0;0.002135104;26.690540528000003;16.998988544;0.797662144;0.0;;;;18250.56803772919;18299.092748121548;18333.509568482194;1.620940032
