AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
0.0;0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1541878020680818E-16;1.1541878753037786E-16;0.0;1.8757112149781282E-16;3.13936E-4;4.107707536;3.9997016480000003;1.0874776640000001;0.0;53.560574272000004;243.90370380800002;1.424685952308E12;1815.2269797384106;1823.813534274733;1823.9382169909209;1.204128016E9
0.0;0.0;0.0;1.8189894035458565E-12;0.0;1.1444200727174694E-16;0.0;0.0;3.25952E-4;2.8402909760000004;4.138384672;1.039848848;0.0;1914.563346736;296.52377657600005;1.424686250032E12;1839.4377204169928;1846.3176011316361;1847.1532530666668;2.82450112E8
0.0;0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1277799769248563E-16;1.127780046847625E-16;0.0;0.0;3.19968E-4;2.1495318400000003;4.290114336;0.11817094400000001;0.0;3780.4118797600004;256.136401488;1.42468846138E12;1878.5885063451574;1887.8905142670815;1887.8905142670803;1.288982E9
9.094947017729282E-13;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.1514157668987187E-16;1.1514158397830549E-16;1.1514158397830549E-16;0.0;3.03696E-4;2.28789936;4.3401118080000005;1.124702832;0.0;98.05911318400001;235.29038921600002;1.424692498182E12;1822.0620565497234;1835.0895261282096;1830.4864563691922;1.64279168E8
0.0;0.0;1.8189894035458565E-12;0.0;1.1124017004469506E-16;0.0;0.0;1.9619065034926387E-16;3.02496E-4;1.9989163840000002;4.245047024000001;0.160846224;0.0;130.26239056;288.27809707200004;1.424692831822E12;1917.369247931047;1926.8438554646912;1926.8438554646905;8.1901456E8
0.0;0.0;3.637978807091713E-12;0.0;2.2104525967967633E-16;0.0;0.0;0.0;3.09776E-4;4.340468;4.429010016;0.658168336;0.0;61.77588092800001;284.59157332800004;1.424693250595E12;1936.366069175098;1945.3901204267177;1945.3901204267167;1.206646496E9
0.0;0.0;3.637978807091713E-12;0.0;2.1015354478099999E-16;0.0;0.0;0.0;3.12656E-4;1.7489433120000002;4.621396624;1.0458002720000001;0.0;199.22968472000002;242.66815748800002;1.424693597224E12;2086.4539096676435;2100.3858818759354;2095.3627498214328;1.103283312E9
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.05232E-4;2.1521567040000003;4.8285750400000005;0.942437088;0.0;294.33972216;288.378422272;1.424694039356E12;2025.0750662000528;2041.4856536429545;2035.3076069073709;2.8230168E8
9.094947017729282E-13;0.0;7.275957614183426E-12;0.0;4.09673104057195E-16;0.0;0.0;2.0249461502279522E-16;3.12496E-4;3.584862864;4.693345312;0.121455456;0.0;2156.2837396;281.89959467200003;1.424694622339E12;2165.9870293544654;2173.812915753391;2174.3241030670233;1.276364064E9
0.0;0.0;7.275957614183426E-12;3.637978807091713E-12;4.118540008840912E-16;2.0592701209849943E-16;0.0;0.0;3.08256E-4;6.119083808;4.667360928;1.11551784;0.0;161.976554128;268.190766736;1.424697060759E12;2147.6910878816675;2157.427298871055;2158.0929701659124;1.60846224E8
